"ANON_ID","SECTION","SHORT_PAPER_SCORE","FINAL_EXAM_SCORE","MIDTERM_EXAM_SCORE","POST_LECTURE_QUIZ_SCORE","PRE_LECTURE_ASSIGNMENT_SCORE","STUDY_HABITS_CHALLENGE_SCORE","READING_QUIZ_SCORE","OVERALL_COURSE_GRADE","NUM_ASSIGNMENTS","NUM_MISSING","NUM_LATE","NUM_NOT_ON_TIME","NUM_ON_TIME","PCT_MISSING","PCT_LATE","PCT_NOT_ON_TIME","PCT_ON_TIME","MEAN_HOUR_DIFF"
"00255EFD","F21-001",88,71.25,69.2325,95.4,100,75,98.6666666666667,85.3641666666666,83,0,1,1,82,0,0.0120481927710843,0.0120481927710843,0.987951807228916,-6.89667001338688
"00E6570E","F21-001",87,83.125,78.75,88.3333333333333,99,75,89.3333333333333,85.7916666666667,83,1,1,2,81,0.0120481927710843,0.0120481927710843,0.0240963855421687,0.975903614457831,-9.85500338753388
"03FD0FB2","F21-001",79,73.75,75.3325,84.2,94.28,74,85.6666666666667,80.889880952381,83,5,11,16,67,0.0602409638554217,0.132530120481928,0.192771084337349,0.807228915662651,-6.58945868945869
"04F549DE","F21-001",84,73.75,77.315,84,98.08,73,95,83.5921428571429,83,0,12,12,71,0,0.144578313253012,0.144578313253012,0.855421686746988,-8.2643875502008
"0578263B","F21-001",84,52.5,67.25,93.5333333333333,93.88,70,85,78.0233333333333,83,3,2,5,78,0.036144578313253,0.0240963855421687,0.0602409638554217,0.939759036144578,-14.1984513888889
"067A4388","F21-001",91,83.75,86.6675,95,91.64,70,96.6666666666667,87.8177380952381,83,3,4,7,76,0.036144578313253,0.0481927710843374,0.0843373493975904,0.91566265060241,-30.4673923611111
"06DAF3FF","F21-001",88,92.5,89.665,98,99.88,75,94.6666666666667,91.1016666666666,83,0,0,0,83,0,0,0,1,-38.3212483266399
"0A9247D8","F21-001",92.5,86.25,88.5,97.8,99.88,75,98,91.1328571428571,83,0,0,0,83,0,0,0,1,-34.5884002677376
"0B551B64","F21-001",66,52.5,69.5675,75.8,86.08,72,91.3333333333333,73.3258333333333,83,5,24,29,54,0.0602409638554217,0.289156626506024,0.349397590361446,0.650602409638554,2.02353988603989
"0BBB023A","F21-001",75,53.54,59.9,90.8,98.32,75,92.6666666666667,77.8895238095238,83,0,4,4,79,0,0.0481927710843374,0.0481927710843374,0.951807228915663,-27.0104283801874
"0BBB050B","F21-001",82,77.5,76.75,89.0666666666667,95.04,74.5,93.3333333333333,84.0271428571428,83,1,1,2,81,0.0120481927710843,0.0120481927710843,0.0240963855421687,0.975903614457831,-22.3919579945799
"0BBB057A","F21-001",87,87.5,86,97,99.44,75,94.6666666666667,89.5152380952381,83,0,0,0,83,0,0,0,1,-20.3594477911647
"0CDBD786","F21-001",85,65,64.9975,76.4,98.96,74.5,94.3333333333333,79.8844047619048,83,1,7,8,75,0.0120481927710843,0.0843373493975904,0.0963855421686747,0.903614457831325,-9.58401761517615
"0CED9FC5","F21-001",85,58.125,53.5,91,89.8,74.5,95,78.1321428571429,83,2,3,5,78,0.0240963855421687,0.036144578313253,0.0602409638554217,0.939759036144578,-8.11451303155007
"0FCB9A18","F21-001",82,61.875,79.15,82.6,96.28,74.5,87,80.4864285714286,83,0,16,16,67,0,0.192771084337349,0.192771084337349,0.807228915662651,-7.48739959839357
"0FCB9A83","F21-001",87,68.75,87.8325,82.9333333333333,99.28,70,90,83.6851190476191,83,2,1,3,80,0.0240963855421687,0.0120481927710843,0.036144578313253,0.963855421686747,-29.4837997256516
"11674351","F21-001",77,77.5,67.4325,60.2666666666667,89.28,71.5,79,74.5684523809524,83,6,29,35,48,0.072289156626506,0.349397590361446,0.421686746987952,0.578313253012048,4.29465367965368
"159A52E2","F21-001",86,75,86.75,91.4,99.04,69.5,86.3333333333333,84.8604761904762,83,2,4,6,77,0.0240963855421687,0.0481927710843374,0.072289156626506,0.927710843373494,-21.0163820301783
"15E014EE","F21-001",84,71.25,82.25,52.2,77.28,51,78.3333333333333,70.9019047619048,83,15,30,45,38,0.180722891566265,0.36144578313253,0.542168674698795,0.457831325301205,10.1759926470588
"18F26A85","F21-001",84,61.25,49.6325,75.2,98.08,67.5,89.3333333333333,74.9994047619048,83,2,11,13,70,0.0240963855421687,0.132530120481928,0.156626506024096,0.843373493975904,-13.7951989026063
"198DA001","F21-001",86,73.125,77.5,84.4,96.08,72,82.3333333333333,81.6340476190476,83,1,24,25,58,0.0120481927710843,0.289156626506024,0.301204819277108,0.698795180722892,-6.68384485094851
"19E2A4BD","F21-001",87,87.5,84.3,89.8,99.24,75,94,88.12,83,1,3,4,79,0.0120481927710843,0.036144578313253,0.0481927710843374,0.951807228915663,-32.9542344173442
"1D99C1EB","F21-001",88,65,71.5825,92.4,95.32,73.5,89,82.1146428571428,83,1,3,4,79,0.0120481927710843,0.036144578313253,0.0481927710843374,0.951807228915663,-24.1849559620596
"2060236","F21-001",82,65,65.05,55.8,89.92,67,70.3333333333333,70.7290476190476,83,9,34,43,40,0.108433734939759,0.409638554216867,0.518072289156627,0.481927710843373,9.05801801801802
"211E6FBF","F21-001",69,90,88.9175,68.4,82.6,62,72.3333333333333,76.1786904761905,83,11,33,44,39,0.132530120481928,0.397590361445783,0.530120481927711,0.469879518072289,7.02559413580247
"24F7906C","F21-001",80.5,86.25,76.8325,95.2,97.24,74,93,86.1460714285714,83,0,6,6,77,0,0.072289156626506,0.072289156626506,0.927710843373494,-13.0403982597055
"24F7912F","F21-001",32,92.5,90.915,84.8,79.08,51.5,38.3333333333333,67.0183333333333,83,16,17,33,50,0.192771084337349,0.204819277108434,0.397590361445783,0.602409638554217,10.614311774461
"24F79186","F21-001",87,87.5,88.5,94.4,99.56,73.5,98,89.78,83,0,3,3,80,0,0.036144578313253,0.036144578313253,0.963855421686747,-12.1692536813922
"2677AE8D","F21-001",93,92.5,90.0825,92.4666666666667,97.88,66.5,96.6666666666667,89.8708333333333,83,2,11,13,70,0.0240963855421687,0.132530120481928,0.156626506024096,0.843373493975904,-6.79503772290809
"26E143B1","F21-001",79,80,83.5,59.8,66.68,24.5,54,63.9257142857143,83,28,13,41,42,0.337349397590361,0.156626506024096,0.493975903614458,0.506024096385542,-5.90282323232323
"2A34741F","F21-001",85.5,69.375,68.315,90.6,94.2,75,85,81.1414285714286,83,1,3,4,79,0.0120481927710843,0.036144578313253,0.0481927710843374,0.951807228915663,-5.76043360433604
"2B5BC7CF","F21-001",89,86.25,83.6675,98.4,99.88,75,97.3333333333333,89.9329761904762,83,0,1,1,82,0,0.0120481927710843,0.0120481927710843,0.987951807228916,-34.4828882195448
"2B5BCB6E","F21-001",76,69.375,59.5,65.6,85.08,45,74.6666666666667,67.8888095238095,83,17,6,23,60,0.204819277108434,0.072289156626506,0.27710843373494,0.72289156626506,-11.2671632996633
"2C8CEFB1","F21-001",63,41.46,38.1825,62.8,95.56,52.5,75,61.2146428571429,83,8,17,25,58,0.0963855421686747,0.204819277108434,0.301204819277108,0.698795180722892,2.48872962962963
"2E42376B","F21-001",93,98.75,97.0825,99.6,99.2,75,98.6666666666667,94.4713095238095,83,0,3,3,80,0,0.036144578313253,0.036144578313253,0.963855421686747,-9.21412985274431
"305B75CA","F21-001",84,87.085,94.75,93,99,75,98.6666666666667,90.2145238095238,83,1,3,4,79,0.0120481927710843,0.036144578313253,0.0481927710843374,0.951807228915663,-15.9314769647696
"30A3B598","F21-001",81,67.5,75.4825,24.2666666666667,39.32,40,39.3333333333333,52.4146428571429,83,43,3,46,37,0.518072289156627,0.036144578313253,0.55421686746988,0.44578313253012,-5.72709027777778
"3573D592","F21-001",90,86.25,80.1675,94.2,95.64,75,96.6666666666667,88.274880952381,83,2,0,2,81,0.0240963855421687,0,0.0240963855421687,0.975903614457831,-19.9310493827161
